Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.125,0.06666666666666667,0.6796001308900523,0.009732555066717387,5764.35294117647,3653.9411764705883
C0917798,Cerebral Ischemia,0.06666666666666667,0.03333333333333333,0.8363179653566382,0.004108059176783312,3129.52,4721.32
C0020295,Hydronephrosis,0.10238095238095238,0.07142857142857142,0.711438423903678,0.05103783176052127,5412.4029850746265,5887.537313432836
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.758008810956992,0.0008943814149324176,4485.241379310345,5457.896551724138
C1866134,Wide anterior fontanel,0.255,0.13,0.8122215819800942,0.10276197814378492,3558.2045454545455,5023.386363636364
C2364082,Sense of smell impaired,0.05,0.0,0.6966585582757899,0.0027459426502131797,6128.055555555556,8184.611111111111
C1276035,Pena-Shokeir syndrome type I,0.0,0.0,0.4810035561133773,0.00016675645477824593,8491.333333333334,3750.5833333333335
C0027022,Myeloproliferative disease,0.2,0.1,0.8910673187571921,0.011026073787297098,1721.1875,5191.1875
C1833225,Dystrophic toenail changes,0.2,0.2,0.6496901636772472,0.012662378583402781,6366.545454545455,5872.454545454545
C0206620,"Lymphangioma, Cystic",0.15,0.05,0.7962569106541795,0.008245206068926068,3801.9523809523807,5272.190476190476
C0006413,Burkitt Lymphoma,0.2,0.05,0.8337674564569276,0.007627615278671096,3189.2,7585.866666666667
C0019158,Hepatitis,0.0,0.0,0.7374446246686202,0.0008132852946515886,4955.363636363636,4029.2272727272725
C0003126,Anosmia,0.05,0.0,0.6078926030550325,0.0018366162136581987,7833.833333333333,7759.333333333333
C0241074,Skin hyperelastic,0.1583333333333333,0.09166666666666665,0.7762995341045908,0.023579781222740924,4026.3870967741937,4106.580645161291
C0020459,Hyperinsulinism,0.1875,0.0625,0.7800747218431825,0.03568738448792128,4137.8375,5740.9875
C0020541,"Hypertension, Portal",0.05,0.0,0.721213112180829,0.0031117650889139507,4829.0,4943.727272727273
C0014474,Ependymoma,0.4,0.1,0.8080360878661088,0.011488329393581081,3869.714285714286,4930.785714285715
C4020838,Relative short stature,0.35,0.1,0.6804089744260238,0.017639236280349295,5179.384615384615,3013.230769230769
C0221170,Muscular stiffness,0.0,0.0,0.7227016002510197,0.0007027065170751669,4147.333333333333,4864.75
C3275417,Ragged-red fibers,0.2333333333333333,0.05,0.7142695198730357,0.00925090872676328,4327.952380952381,3995.1428571428573
C0349204,Nonorganic psychosis,0.0125,0.0,0.6183984415993283,0.0010944908261658825,7216.355263157895,6600.5921052631575
C0007787,Transient Ischemic Attack,0.2,0.0,0.8771805061702572,0.007260456026841636,1886.8,6161.2
C0018916,Hemangioma,0.15,0.03333333333333333,0.7832849293563579,0.005341686072388075,3748.7083333333335,5611.041666666667
C1837485,Flat acetabular roof,0.2222222222222222,0.2222222222222222,0.734547567175018,0.011397416171659914,4090.777777777778,4508.333333333333
C0007222,Cardiovascular Diseases,0.03666666666666667,0.0,0.7267601474725237,0.001821260112646853,5096.7192982456145,2828.754385964912
C2673410,Small midface,0.04,0.01,0.7643364156990491,0.004883123651840786,4457.316831683168,5669.366336633663
C0234182,Gowers sign,0.0,0.0,0.6176286412000699,0.0007553225874188617,6580.458333333333,4392.958333333333
C0023493,Adult T-Cell Lymphoma/Leukemia,0.1,0.06666666666666667,0.7808409237641557,0.005222116199292634,4073.2258064516127,4113.0
C0023434,Chronic Lymphocytic Leukemia,0.06666666666666667,0.0,0.7270726439790576,0.0025965215492024657,5270.0,7269.088235294118
C0239946,"Fibrosis, Liver",0.06666666666666667,0.03333333333333333,0.5754172555794029,0.0047601652184101565,7723.612903225807,6724.774193548387
C0013336,Dwarfism,0.05833333333333333,0.025,0.6469702920179434,0.0025462543504605048,6488.189189189189,5046.7027027027025
C0014591,Epistaxis,0.29,0.22000000000000003,0.8469325860353047,0.049320050167835625,3006.4186046511627,3873.9302325581393
C0870082,Hyperkeratosis,0.11000000000000001,0.0,0.7564620220010475,0.005296224729854906,4610.318181818182,4862.136363636364
C0338715,Drug-induced depressive state,0.1,0.0,0.5770894351464435,0.0027057889315606426,6552.5,3909.5714285714284
C0431904,Ulnar polydactyly of fingers,0.21000000000000002,0.21000000000000002,0.7151240243071927,0.05161678555827161,5259.466666666666,7134.8
C1328931,Multiple lentigines,0.5,0.4,0.9810970508261871,0.026718348933247,362.5,4149.5
C4020958,Rough bone trabeculation,0.4,0.3,0.8780630654186059,0.10289982067496566,1812.6363636363637,8904.636363636364
C0042510,Ventricular Fibrillation,0.4,0.2,0.7477246573909404,0.03813862392540864,3981.25,5444.25
C0037293,Skin tag,0.5,0.2,0.8839573311022798,0.20758926914457804,1862.2,5406.6
C0271578,Female hypogonadism syndrome,0.2,0.1,0.7614217711984098,0.021774354317927416,3486.0588235294117,4839.823529411765
C1398312,Narrow palate,0.25,0.1,0.7922098985037145,0.007156462366555505,3530.55,4591.7
C1857202,Frequent vomiting,0.6,0.3,0.9333664505333612,0.07044370896465472,1353.6,4680.7
C0024301,"Lymphoma, Follicular",0.0,0.0,0.7814026782444945,0.0008391752544430824,3546.705882352941,3622.176470588235
C4023397,Abnormal hair quantity,0.2,0.1,0.8678831066945607,0.0282794770958305,3130.214285714286,5654.714285714285
C0152031,Joint swelling,0.16666666666666666,0.1,0.7685347985347984,0.02008920840244064,4115.375,4526.125
C1859117,Recurrent pulmonary infections,0.1,0.06666666666666667,0.7417870539998254,0.012472793595841606,4620.9655172413795,4853.862068965517
C1865060,Molar tooth sign on MRI,0.35,0.25,0.8541732036397868,0.12109958856314,2602.0833333333335,11507.5
