node_id,degree,protein_id,protein_name,role
1533,47,2147,F2,disease
1603,46,2243,FGA,disease
3142,70,4615,MYD88,disease
1538,18,2153,F5,disease
2278,15,3273,HRG,disease
3087,16,4524,MTHFR,disease
1540,22,2157,F8,disease
1541,6,2158,F9,disease
2114,17,3053,SERPIND1,disease
3686,37,5327,PLAT,disease
5006,6,7056,THBD,disease
2090,7,3026,HABP2,disease
12784,3,51156,SERPINA10,disease
3912,17,5624,PROC,disease
3915,17,5627,PROS1,disease
3643,11,5277,PIGA,disease
6214,2,9002,F2RL3,pred_lci
1536,17,2151,F2RL2,common_pred_lci
3511,27,5104,SERPINA5,pred_lci
1604,26,2244,FGB,common_pred_lci
1543,10,2160,F11,common_pred_lci
3687,34,5328,PLAU,common_pred_lci
1625,24,2266,FGG,common_pred_lci
1542,23,2159,F10,common_pred_lci
10809,87,25898,RCHY1,common_pred_lci
4698,441,6667,SP1,common_pred_lci
1920,28,2811,GP1BA,common_pred_lci
2662,46,3827,KNG1,common_pred_lci
3701,21,5345,SERPINF2,common_pred_lci
6122,2,8858,PROZ,pred_lci
1923,3,2814,GP5,pred_lci
2536,34,3674,ITGA2B,common_disease
1545,16,2162,F13A1,common_disease
1676,792,2335,FN1,common_disease
5007,54,7057,THBS1,common_disease
149,200,213,ALB,common_disease
325,17,462,SERPINC1,common_disease
1830,20,2677,GGCX,common_disease
5300,99,7448,VTN,common_disease
3474,39,5054,SERPINE1,common_disease
500,15,710,SERPING1,common_disease
3635,15,5269,SERPINB6,common_disease
1062,615,1457,CSNK2A1,common_disease
2417,58,3493,IGHA1,common_disease
2422,88,3500,IGHG1,common_disease
577,158,811,CALR,common_disease
1416,33,1991,ELANE,common_disease
1103,40,1511,CTSG,common_disease
10818,215,25913,POT1,common_disease
3699,68,5340,PLG,common_disease
20234,568,375791,CYSRT1,common_disease
2796,89,4035,LRP1,common_disease
3583,13,5196,PF4,common_disease
