Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0001627,Congenital adrenal hyperplasia,0.0,0.0,0.475306321358953,0.00045566895852205936,11632.545454545454,2471.818181818182
Mean,,0.0,0.0,0.475306321358953,0.00045566895852205936,11632.545454545454,2471.818181818182
Median,,0.0,0.0,0.475306321358953,0.00045566895852205936,11632.545454545454,2471.818181818182
STD,,0.0,0.0,0.0,0.0,0.0,0.0
Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0001627,Congenital adrenal hyperplasia,0.1,0.0,0.7139051332033788,0.005622472839504846,7238.272727272727,2471.818181818182
Mean,,0.1,0.0,0.7139051332033788,0.005622472839504846,7238.272727272727,2471.818181818182
Median,,0.1,0.0,0.7139051332033788,0.005622472839504846,7238.272727272727,2471.818181818182
STD,,0.0,0.0,0.0,0.0,0.0,0.0
