disease_id,disease_name,gene_entrez_ids,splits
GO:1903708,positive regulation of hemopoiesis,"11776,18950,74256,15902,75302,18996,18997,16449,11848,234069,12394,22637,12399,12400,12912,14960,14461,14462,99982,192656,56468,22177,19645,22724,18129,216799,240354,100038882,230126,12015,14582,22778,217864,268564,16149,15130,14634,21803,26416,21813,235320,211770,15163,16190,18750,19264,16193,170826,18762,21847,17242,14683,21349,100201,12142,20850,20851,12151,105855,74131,15251,20371,12703,17311,19373,14254,16818,15289,20423,14281,223690,16331,16846,80859,16859,72162,20963,11774",0
GO:0010634,positive regulation of epithelial cell migration,"20356,18186,20620,15251,22421,19229,232227,26921,226352,14389,21813,11845,20682,75723,212307,14165,11350,16476,14173,14824,18811",0
GO:0048678,response to axon injury,"22177,21923,11816,14184,12043,16476,17136,20655,20656,18039,12028,14173,11806,17183",0
GO:0035108,limb morphogenesis,"20481,68099,70661,16917,15395,15396,15398,15405,22061,99377,22589,13380,15430,19014,15433,16973,15438,16974,18514,13395,18515,12387,12393,20586,18541,192119,106633,22160,218772,14013,11977,18128,18129,20689,216795,19164,19165,14563,20204,12018,12028,19206,320790,17701,17702,14634,239405,21808,18740,18741,235320,14165,58198,14683,14180,14182,244585,12159,12162,12166,21386,21387,21388,22415,22418,22421,21405,23967,21418,11694,11695,14260,65973,56758,20423,16842,19411,13798,81896,18933",0
GO:0002709,regulation of T cell mediated immunity,"14082,18950,18439,74131,268564,20371,57765,21938,15289,19264,16193,11846,58185,18762,27218,56532,110558,216799,257632,12772,12520,12010,17131,21355,19056,223601,14964,14972,14462",0
GO:0048853,forebrain morphogenesis,"238057,15242,15209,19211,319757,56207,14843,231580,21821,18015",0
GO:0017038,protein import,"226432,212999,16647,16649,170762,16650,16905,227720,18708,13207,12953,18969,12575,66725,18854,22059,70572,13488,19384,231103,22084,19014,68051,16211,11865,14180,213990,19305,19055,19058,18035,26356,20472,20473,233726",0
GO:0019217,regulation of fatty acid metabolic process,"20617,27273,230796,11666,66968,19225,22040,16418,228775,20787,58805,11450,93759,19013,68041,18124,16592,11606,100705,13666,12389,11370,26874,75387,14077,216190",0
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,"12557,12558,94332,12561,74769,12661,16728,237979,53883,19294",0
GO:1903053,regulation of extracellular matrix organization,"16416,69538,20682,18128,380664,21808,21937,21938,11350,11352,19645,21407",0
GO:0050710,negative regulation of cytokine secretion,"19073,70790,18854,56715,66222,230738,27218,54644,21942,11545,16859",0
GO:0008016,regulation of heart contraction,"12289,12290,18821,14609,14226,110355,18578,238871,11928,11931,11548,11550,606496,29856,11938,20264,80297,18091,20271,11441,13489,14387,20787,20541,18750,14528,13383,330953,21833,21834,17868,18125,74318,18127,22218,230738,11603,14678,208727,14679,14681,13405,17246,20191,17248,17888,57440,98660,12389,30948,17258,17131,109676,15214,109552,22003,70008,20346,13819,13052,12287",0
GO:0060612,adipose tissue development,"15364,11909,26383,18706,12567,15902,22433,20773,229285,329003,22187,19885,55982,19015,19017,20681,71371,16846,268396,81004,56436,102774",0
GO:0002702,positive regulation of production of molecular mediator of immune response,"106759,56200,20361,21898,104721,74131,16149,17685,51869,22433,57765,17319,15275,55982,107823,14127,26416,26417,21939,237877,21687,230073,66362,16190,19264,16193,230979,77125,17350,58185,18762,12491,18124,67278,27223,216799,72544,257632,72162,15458,12520,68585,108655,20852,14462,228607",0
GO:0055008,cardiac muscle tissue morphogenesis,"14725,12166,15110,16392,22413,14225,112405,320790,241431,14106,57246,18091,21803,21808,109620,18741,18996,21812,21814,19130,19014,11464,18128,19664,20181,54485,63958,20191,14183,17128,22761,17131,15214,22003,22138,12156",0
GO:0030901,midbrain development,"22272,22408,56207,22416,22418,16917,54422,11804,14365,64290,17701,18742,68151,110648,55994,14534,20423,16974,71137,12387,15205,13798,14182,14183,238057,17125,21350,18424,30841",0
GO:0072329,monocarboxylic acid catabolic process,"230784,15488,14245,19015,70025,11370,110826,19305,26569,16846,26874,11666,16922,214579,13177,11450,97212",0
