node_id,degree,protein_id,protein_name,role
3138,583,4609,MYC,disease
5105,151,7170,TPM3,disease
757,22,1028,CDKN1C,disease
758,183,1029,CDKN2A,disease
5637,134,8202,NCOA3,disease
1126,3,1548,CYP2A6,disease
1480,201,2064,ERBB2,disease
17,389,25,ABL1,disease
7252,10,10266,RAMP2,disease
13140,12,51738,GHRL,disease
1135,16,1571,CYP2E1,disease
4718,97,6696,SPP1,disease
1499,789,2099,ESR1,disease
1149,30,1588,CYP19A1,disease
1500,140,2100,ESR2,disease
395,17,563,AZGP1,disease
1166,63,1612,DAPK1,disease
418,112,595,CCND1,disease
419,136,596,BCL2,disease
12879,7,51292,GMPR2,disease
6068,32,8797,TNFRSF10A,disease
3993,246,5728,PTEN,disease
5677,87,8289,ARID1A,disease
3996,5,5731,PTGER1,disease
1183,10,1636,ACE,disease
3603,54,5223,PGAM1,disease
4006,47,5743,PTGS2,disease
4789,292,6774,STAT3,disease
4791,106,6776,STAT5A,disease
3615,81,5241,PGR,disease
441,26,634,CEACAM1,disease
3618,356,5245,PHB,disease
850,83,1152,CKB,disease
2229,26,3206,HOXA10,disease
2952,83,4233,MET,disease
4808,108,6794,STK11,disease
5188,9,7306,TYRP1,disease
15134,48,58508,KMT2C,disease
3631,48,5265,SERPINA1,disease
4025,175,5781,PTPN11,disease
6120,38,8856,NR1I2,disease
1577,39,2202,EFEMP1,disease
4680,114,6648,SOD2,disease
3652,82,5290,PIK3CA,disease
3281,277,4790,NFKB1,disease
4849,2,6847,SYCP1,disease
2985,60,4288,MKI67,disease
5236,22,7367,UGT2B17,disease
2625,35,3784,KCNQ1,disease
2993,113,4297,KMT2A,disease
13415,55,54474,KRT20,disease
1614,6,2254,FGF9,disease
2631,66,3791,KDR,disease
3687,34,5328,PLAU,disease
3014,38,4323,MMP14,disease
3328,79,4846,NOS3,disease
2309,600,3312,HSPA8,disease
542,3,759,CA1,disease
539,20,760,CA2,disease
1278,109,1786,DNMT1,disease
5280,38,7422,VEGFA,disease
2321,379,3329,HSPD1,disease
3037,58,4354,MPP1,disease
2675,80,3845,KRAS,disease
555,28,780,DDR1,disease
