Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0001627,Congenital adrenal hyperplasia,0.2,0.0,0.6701754385964913,0.003828029659346071,6220.727272727273,2471.818181818182
Mean,,0.2,0.0,0.6701754385964913,0.003828029659346071,6220.727272727273,2471.818181818182
Median,,0.2,0.0,0.6701754385964913,0.003828029659346071,6220.727272727273,2471.818181818182
STD,,0.0,0.0,0.0,0.0,0.0,0.0
Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0001627,Congenital adrenal hyperplasia,0.2,0.0,0.6037744825025527,0.00456695851250101,7578.090909090909,2471.818181818182
Mean,,0.2,0.0,0.6037744825025527,0.00456695851250101,7578.090909090909,2471.818181818182
Median,,0.2,0.0,0.6037744825025527,0.00456695851250101,7578.090909090909,2471.818181818182
STD,,0.0,0.0,0.0,0.0,0.0,0.0
