disease_id,disease_name,gene_entrez_ids,splits
GO:0031406,carboxylic acid binding,"20512,12483,27364,19016,20617,16427,18126,16592,17136,20186,54673,83382,14711,16728,12505,14810,15903",0
GO:0140097,"catalytic activity, acting on DNA","80905,26383,22040,18968,114714,21665,27050,17217,22594,17219,17220,14156,26447,21969,21973,77782,319583,72162,12144,21748,18294,13433,13435,13436",0
GO:0005543,phospholipid binding,"170625,73094,21894,20616,218503,14218,13196,26382,235283,78618,380698,117149,19230,246177,23969,244654,19374,22318,14389,16438,107831,66616,16439,16440,54198,226101,319934,23999,225471,434246,13132,109135,13139,21844,19159,246746,12891,27359,268396,20979,20980,20981,20983,15481,54526",0
GO:0008081,phosphoric diester hydrolase activity,"18795,207728,18577,18578,18803,23984,18806,238871,20598,234779,12799",0
GO:0004857,enzyme inhibitor activity,"20481,18054,100037258,230796,15507,18582,11287,219158,12703,12576,12575,12578,64930,66471,71853,53814,100535,383548,20166,59083,12367,18128,11603,18519,20568,20701,94175,104418,18787,320365,20720,20723,109689,320127",0
GO:0019902,phosphatase binding,"19200,12550,56458,12043,12558,12562,16150,56480,65962,26413,12978,16818,19261,319934,26941,101568,14784,12483,30794,13003,14158,17872,217303,12387,20963,22627,12015,19058",0
GO:0008135,"translation factor activity, RNA binding","66085,73830,68135,13669,55944,223691,53356,27979,13690,65967,13684,16341,54709,208922,56347,13628",0
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","14433,18597,28200,67689,14447,56847,11668,18293,11671,67420",0
GO:0016410,N-acyltransferase activity,"81601,270627,56292,14534,328572,11656,71949,12753,12914,74838,18519,54169,73242,18107,67260,76893",0
GO:0015078,proton transmembrane transporter activity,"20544,56384,11972,11973,68775,338375,11944,11946,74096,66290,110935,66237,66335",0
GO:0004721,phosphoprotein phosphatase activity,"14208,74776,13853,72349,242083,19247,19248,19252,19255,19259,19264,15170,19267,19272,19277,19279,51792,19280,19283,14048,13537,14049,14050,19042,19045,19046,19047,19055,19056,19058,19060,72828",0
GO:0003779,actin binding,"19200,432516,230917,14086,20741,12296,64009,18826,171531,77963,109711,231830,71960,12569,16796,19230,14457,11426,13860,21924,27428,80297,110253,244654,58800,12721,65970,57778,12340,60595,13367,12345,171580,59069,26557,67903,23999,228545,18754,77767,218952,211401,226251,208076,319565,11472,11474,16210,218194,223701,11350,12631,230872,12632,17754,104027,326618,17118,12385,27361,22629,239719,80743,72042,56431,13169,22003,54004,57342,29816,14201,17918,18175",0
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","64384,50721,14660,23942,12359,93759,15182,15185,64383,75387,433759",0
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","13070,26383,71952,13074,18451,18452,13078,112407,19225,110115,13244,171580,26433,18125,18126,18127,218214,52463,72562,214133,13180",0
GO:0005200,structural constituent of cytoskeleton,"27360,226180,11465,22154,380684,545486,22352,102866,14580,18039,230872,16666,11518,11519",0
GO:0016504,peptidase activator activity,"103554,14114,12389,26885,11783,12015,19186,19188,12633,14268,20319",0
GO:0004175,endopeptidase activity,"50701,23821,59287,12333,12334,12335,12336,50492,19141,252870,12362,12364,12366,12367,12368,12369,12370,12371,19164,19165,11487,11491,13030,13033,11502,13039,11504,17395,226548,208117,12153,235130",0
GO:0022803,passive transmembrane transporter activity,"12288,12289,12290,18438,12295,12296,18439,12298,193034,12300,22063,22064,22066,11827,22068,16438,16439,76856,16440,14394,14396,14401,14402,111173,14406,225865,16485,16490,16493,16500,16508,16513,16514,16516,16525,16531,16533,16536,11418,11419,11435,11438,11441,11443,11447,330953,140492,18646,20190,20191,329954,110834,72961,110862,14609,14615,14619,110876,170790,20264,20265,20271,194352,20276,20277,20278,15165,22333,15168,18763,18764,12638,74096,171382,53623,353155,244646,58800,12722,14799,14800,14802,14805,14806,14807,14809,14810,14811,14812,14813,14814,24046,12286,12287",0
GO:0060090,molecular adaptor activity,"12928,59009,12419,13449,93834,327826,66075,26396,71718,12335,244667,20411,26557,14783,231872,14784,16706,16069,13383,18000,64209,53975,56792,17754,20218,209630,50915,12005,12389,13543,13544,109676,30957,23921,18039,243961,333050,228607",0
GO:0031490,chromatin DNA binding,"383491,17927,17928,52615,11921,22289,12053,26914,56484,24113,18741,18999,18626,20674,20807,19017,21833,21834,15182,15183,18128,12753,20181,17127,14056,214899,22772,328572",1
GO:0016853,isomerase activity,"27364,94244,17319,21991,56361,56012,21969,14226,338355,23988,21973,14230,226041,18648,13177,13595,14751",1
GO:0046914,transition metal ion binding,"71952,18711,18712,20135,19373,19374,19122,26549,18747,12350,269378,26434,12870,14151,66505,11977,14156,17748,20437,11350,17751,11352,58206,54367,27361,66917,218214,20200,109801,381305,12914,13433",1
GO:0008509,anion transmembrane transporter activity,"72961,214663,20495,20511,20512,20514,11303,20525,20527,67760,12722,57138,20533,70456,14394,20539,22333,14401,14402,14406,72401,11989,26457,12638,76257,13162,50799,328059,105727",1
GO:0003774,motor activity,"17888,17925,17880,329421,100502766,16559,16561,66196,23988,71960,17913,17918",1
GO:0019209,kinase activator activity,"16002,20869,12569,71943,21803,11308,66513,18706,56692,16859,15289,23994,16443",1
GO:0043021,ribonucleoprotein complex binding,"56449,56717,57746,12181,57749,69019,66212,78757,53421,53422,65967,19652,67276,230738,16210,12261,14056,14828,20589,213742,217331",1
GO:0017147,Wnt-protein binding,"14369,14370,26564,93897,16973,16974,19277,20378,53627,20319,68151,14362,20187,14366,14367",1
GO:0001540,amyloid-beta binding,"16835,241576,11785,242667,16398,16975,100017,19122,56177,13844,230904,16414",1
GO:0016247,channel regulator activity,"23936,108068,108069,14694,13383,83814,381290,13483,109676,16493,18189,17999,20907,56461,192176,229715,56188,18751",1
GO:0048018,receptor ligand activity,"16002,22408,71436,22416,13841,22418,22422,16153,13722,17311,21926,17319,16170,16175,16176,20402,18811,23863,15289,11450,16193,22339,77125,399558,18119,20296,16846,20563,14165,14173,20346,20319,381677,12922,211323,11516,14205,20350",1
GO:0019213,deacetylase activity,"64384,50721,64580,23942,93759,15182,15183,15185,64383,208727,75387,433759",1
GO:0003697,single-stranded DNA binding,"56449,14211,22040,74142,19361,23983,21681,18996,56381,101185,17217,17219,17220,56009,22608,70099,59093,18521,19290,19291,72416,20589",1
GO:0002039,p53 binding,"21848,12005,328572,72169,22062,14460,209361,18997,12568,67772,17246,93759",1
GO:0005126,cytokine receptor binding,"53378,67588,14599,266632,22030,17311,12070,21926,216233,21803,16175,16179,170936,21950,16193,16451,16452,22339,22341,107976,20296,20306,56792,12505,246746,68833,30954,72183,244218,65020,14205,14462",1
GO:0061134,peptidase regulator activity,"103554,26885,18054,11783,11287,14114,14268,383548,59083,20568,12633,20701,20319,94175,18787,12389,12015,20720,19186,20723,19188,109689",1
GO:0042562,hormone binding,"20416,14600,12554,11435,12971,14602,56847,13649,11443,71764,11447",1
GO:0061980,regulatory RNA binding,"230594,636931,83557,17191,239528,17257,381305,73679,57746,57749,192119,14265,236511",1
GO:0019838,growth factor binding,"16001,16004,18053,18186,16542,18595,18212,16177,21812,21813,21814,16188,20416,16195,16591,13649,11477,11480,11481,116701,14181,14182,14183",1
GO:0048037,cofactor binding,"27364,218214,14151,13063,18126,56847,26926,19225,12953,171580,15199",2
GO:0008233,peptidase activity,"76800,213760,80898,105988,66054,243084,50701,23821,14479,74256,56213,59287,110616,240028,11421,74142,66085,11434,432940,12333,12334,12335,71472,11568,75826,12336,24110,66615,50492,64704,19141,252870,12362,12364,12366,12367,12368,12369,12370,12371,22223,12153,14939,19164,19165,30941,11487,229603,11491,17380,13030,19173,13033,11502,13039,11504,17393,27377,17395,226548,208117,80886,50933,104184,74617,235130,84092,223870",2
GO:0002020,protease binding,"240354,26885,21926,17319,14218,15530,17196,11789,16590,16177,19122,269523,12661,12569,11674,20190",2
GO:0005516,calmodulin binding,"71233,12322,69635,17918,64011,17196,17118,110862,19055,22064,22318,19762,16536,14810,13627,208158,20191",2
GO:0004519,endonuclease activity,"22594,239528,14156,19373,14000,230738,54451,57746,57749,192119,114714,78943",2
GO:1990782,protein tyrosine kinase binding,"14272,20416,13508,23877,13449,83945,26409,19247,14609,327826,18803,16180,21844,23921,56792,23994",2
GO:0042826,histone deacetylase binding,"69504,79362,12419,22025,230796,19727,71954,15251,21907,12952,22433,21412,14245,269610,12608,18627,22724,68558,53975,72162,268903,17260,17261,12142,214384,20473",2
GO:0005230,extracellular ligand-gated ion channel activity,"72961,18438,18439,11435,11438,11441,11443,11447,14394,14396,14401,14402,14406,14799,14800,14802,14805,14806,14809,14810,14811,14812,14813,14814,110834,53623",2
