disease_id,disease_name,gene_entrez_ids,splits
GO:2000677,regulation of transcription regulatory region DNA binding,"7040,171392,3458,51341,2959,7189,3479,4760,8091,5663,5925,23462,11315,3005,2623,2625,64324,23493,65992,7114,9421,25942,64855,6872,5080,1499,10459,84444,117854,51042,1649,2033,9464,7291",0
GO:0060338,regulation of type I interferon-mediated signaling pathway,"57506,8772,11140,84166,149095,79594,5771,58509,51441,7474,25939,56339,3093,117854,29883,3326",0
GO:0006029,proteoglycan metabolic process,"81792,2817,64131,64132,3340,11285,55959,3479,55454,113189,124583,23213,6448,26035,222537,92370,2131,2132,2137,10855,26229,64377",0
GO:0055067,monovalent inorganic cation homeostasis,"23682,525,6546,6548,27035,5538,1579,3757,1201,1585,1203,9777,55858,50617,65082,64699,120892,147007,6337,3778,6338,6340,54982,7879,84679,54734,653519,2896,8529,596,476,477,478,55647,480,481,482,483,84317,65010,506,11261",0
GO:0006333,chromatin assembly or disassembly,"1029,8968,26155,146059,8208,8467,10664,8091,8350,8351,8352,8353,546,8354,8355,8356,8357,8358,5928,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370,10036,55355,51773,29855,4678,57798,8520,554313,201161,3020,3021,3159,54623,79711,23523,8294,79723,22893,55723,25842,7157,121504,7290",0
GO:0035567,non-canonical Wnt signaling pathway,"1856,1857,8322,8323,8324,11211,4653,7474,7476,54361,7484,1855",0
GO:0030520,intracellular estrogen receptor signaling pathway,"8289,1667,1668,728358,9325,133522,2099,5458,23543,1655,10521",0
GO:0031668,cellular response to extracellular stimulus,"1026,1030,81929,7184,26,55846,4141,5166,51765,120892,2621,6721,1611,84557,10325,53349,3178,27244,4217,64121,659,58528,54434,10919,652968,57521,57535,8897,2242,144577,54468,57026,79567,83667,213,6872,7391,7392,81631,79077,23274,9451,8428,3309,5366,84219,2308,5899,10514,6422,10518,55062,220441,10533,23334,2348,7486,51520,4929,143686,22863,23378,355,3428,875,79726,81788,11133,406912,10631,11152,10641,3992,51100,5024,5025,440738,4521,2475,10670,440,1981,8131,8644,8648,56270,9681,5587,468,440275,5594,5595,5599,55270,5610,26608,26100,7157,23032",0
GO:0045851,pH reduction,"5538,23682,54982,7879,55647,525,54734,653519,2896,1201,1203,84317,147007",0
GO:0098927,vesicle-mediated transport between endosomal compartments,"11267,29062,9482,374666,64400,84376,51361,5289,55614,22853,124997,7879,25930,29911,64089,83547,84067,8678,5868,84079",0
GO:0031343,positive regulation of cell killing,"3458,22914,3592,3593,10125,114836,23705,2208,8993,164,2597,10666,5551,5817,5819,59067,3133,3134,56253,6850,64581,3916,135250,114771,8417,2150,6375,4843,11126,259197,383",0
GO:0010976,positive regulation of neuron projection development,"2185,10507,653,655,9362,26259,5754,23064,27,151835,5663,23327,1826,8482,84258,4137,51760,4914,9139,50618,2242,11075,23363,57154,2889,6857,6091,6092,6860,23499,51657,5584,11344,5587,347733,22871,8536,22999,4058,2011,348,5979,9820,127833,4192,4067,9699,23654,91752,114798,401135,2033,23025,627,2803,5365,8437,5753,2042,162427,6014",0
GO:0051204,protein insertion into mitochondrial membrane,"56993,55750,51079,29928,3308,64112,79568,90580,26520,25813,26519,3320",0
GO:0050777,negative regulation of immune response,"3456,1281,2,3586,7040,3077,7043,7042,8832,84868,5771,58509,56339,55829,5272,409,79004,79132,684,301,3630,6318,100507436,11314,50943,60343,29883,8764,3133,3134,3135,11326,1604,710,84166,387837,335,336,2896,722,6223,7124,725,25939,5468,3805,54625,1378,5987,3428,282618,6375,149095,79594,10859,3440,51441,11126,634,3965,383",0
GO:0051284,positive regulation of sequestering of calcium ion,"801,2946,805,9446,2280,1193,2281,845,6262,6717",0
GO:0007176,regulation of epidermal growth factor-activated receptor activity,"57732,23624,84619,653361,7251,6868,54206,150,9655,55294,84313,79643,122809,1950,7039",0
GO:0008033,tRNA processing,"54913,10248,54920,4234,8846,54931,93587,10775,51095,79897,91801,339487,10785,51493,51367,26024,27304,129450,10667,10799,51637,51002,10940,10556,10557,54974,81605,51531,79691,3028,6741,283989,9692,55644,11102,55006,10978,81890,54888,144233,80746,23536,1653,54517,55798,1787",0
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,"3428,7917,29965,22938,51065,2033,57646,23411,29108,7157,64782,7161,602,23612,8445",0
GO:0050866,negative regulation of cell activation,"3456,8832,3586,7940,3077,84868,6664,7305,11146,652,9231,6422,9750,671,928,201633,5154,5155,5156,146722,84524,301,100507436,10288,11314,50943,1845,3134,3135,79679,170692,5573,29126,23240,3146,26191,2896,114897,1493,57045,472,5592,10457,348,4192,10464,282618,6375,10859,4332,3440,6385,64115,54900,634,80380,3965,383",0
GO:2001251,negative regulation of chromosome organization,"7175,56848,2067,100134934,23063,2072,6688,65057,546,57379,51750,26155,6714,8260,4683,7756,23133,54880,9319,9320,3178,3183,54386,79991,3192,340602,7291,5252,5253,26271,672,79008,26277,51366,6830,8379,54984,6879,5347,55011,195814,4331,548593,1786,23293,1789,50943,5394,6419,54552,64282,377630,80169,25913,167227,55611,324,9555,25942,7520,7013,7014,23411,84861,10111,26036,80312,55226,6598,1487,8658,472,3550,80351,6622,84464,7153,4085",0
GO:0090305,nucleic acid phosphodiester bond hydrolysis,"22916,1677,2067,2068,6035,6036,2071,2072,2073,6039,6419,668,26523,27161,192669,192670,2081,201626,79002,84893,51110,22803,11051,11052,5167,4913,55218,79869,80149,2237,80198,4686,5073,7507,64852,3669,57109,4968,23405,1776,60528,114034,1653,4343,22909",0
GO:0098754,detoxification,"2944,2946,2947,51109,6648,145226,27244,4846,57016,337,11315,9588,9429,83667,4504,7001",0
GO:0034260,negative regulation of GTPase activity,"153090,22914,402,377630,50848,10156,120892,3265,10565,5962,11211,10959,51291,407008,65125,26086,23143,55920,5365,23677",0
GO:0035383,thioester metabolic process,"10249,10005,55711,32,38,5160,84649,5162,47,84532,570,11332,51268,284486,54995,10965,84693,215,122970,641371,84188,3295,79717,4967,137964,23417",0
GO:0015849,organic acid transport,"11136,56301,94081,80131,2180,2181,23428,6535,26503,79751,114571,9356,123264,10257,116369,1813,1814,1815,5660,8604,153129,2348,6573,2350,1201,376497,948,8501,10165,54716,9152,8140,55117,284111,50640,113235,215,56923,1244,348,200931,1636,55144,6505,6506,4843,6507,6509,6510,9194,624,3952,9962,9963,10478,10991,2806,10999,54896,11001,65010,23677",0
GO:0043331,response to dsRNA,"3456,64135,5899,23180,81035,201626,23586,57506,148022,7098,115004,8780,857,340061,10211,10084,3434,79594,85364,5366,6520,1660",0
GO:0032981,mitochondrial respiratory chain complex I assembly,"51079,54539,374291,55572,29078,5018,79133,51103,29090,80224,55471,28976,55863,25915,55101,55744,126328,137682,4694,4695,4696,4698,4700,4702,4704,4705,4706,4707,4708,4709,4710,4711,4712,617,4713,4714,4715,4716,4717,4718,4724,4725,6901,90871,4728",0
GO:0007267,cell-cell signaling,"8321,11141,2697,3082,2069,5913,8091,5789,9255,6317,688,7472,947,2743,246329,115004,5310,5311,9152,5443,10563,6469,5318,23166,6348,1230,6352,80208,1234,6355,10457,29923,4068,2917,6375,1134,1136,1392,1906,1140,1143,6910",0
GO:0032717,negative regulation of interleukin-8 production,"23005,9314,56957,54106,1991,7114,301,58509,26191,945,307,408,602,10333,671",0
GO:0006694,steroid biosynthetic process,"10654,1066,1583,1584,1585,79154,1589,1717,1718,6713,1593,570,1595,6716,190,6718,10682,29881,7108,8644,4047,8912,3156,3284,3930,5469,51302,2539,7923,4598,10998,11001",0
GO:1904263,positive regulation of TORC1 signaling,"51520,58528,55011,9894,81929,23274,10670,10325,90809,23387,84861",0
GO:0032673,regulation of interleukin-4 production,"84868,161882,51176,940,3662,3133,50943,5914,7292,3965,959",0
GO:0016226,iron-sulfur cluster assembly,"150274,84191,552900,4682,10539,64428,9391,27247,3313,64210,654483,2395,9054,51647",0
GO:0050890,cognition,"50944,3973,9993,55180,54413,140947,23316,84630,23191,793,4762,4763,9369,11036,22941,5663,57502,9378,8867,9379,4137,55084,814,177,3122,567,7991,28983,26047,2628,6100,6484,152789,4311,55636,348,64220,84061,351,113246,124512,2915,874,25836,3949,6509,85358,353134,1137,1139,1141,3064,25978,9980,3198",0
GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation","3458,246778,1604,29126,6375,7048,3146,301,975,177,64115,57045,11126,4602,5914,3965,50943",0
GO:0002521,leukocyte differentiation,"8320,3714,3593,7305,652,359948,6927,3600,915,133396,4627,920,5657,8600,1435,1053,1437,5153,931,10537,84522,940,814,558,2621,2623,54209,3146,27086,10320,5971,55636,8792,10202,3932,5468,6237,863,8544,79840,1380,3428,2150,6886,51176,10859,3565,8563,9846,7163,3965,7422",0
GO:0043268,positive regulation of potassium ion transport,"9472,51083,2316,4878,10142,3753,3757,389816,3784,1739,23630,3799,88,481,482,483,2273,30819,8811,388591,144245,440699",0
GO:0043649,dicarboxylic acid catabolic process,"122970,197322,137872,23475,2805,2806,10005,2746,2747,10588",0
GO:0045913,positive regulation of carbohydrate metabolic process,"51085,57103,3479,10776,1950,5663,51744,5027,5155,5031,3630,4790,3643,5581,207,208,3667,8660,2645,6622,351,5741,23411,195827,5366,8445",0
GO:0090557,establishment of endothelial intestinal barrier,"50848,57826,5861,9414,7082,4301,81876,51735,5912,9693",0
GO:0032418,lysosome localization,"54785,23557,7942,54664,4627,118426,10013,83871,26276,4135,23207,55207,94121,90809,65082,79803,79036,117194,9043,2647,1113,3815,5864,282991",0
GO:0050796,regulation of insulin secretion,"640,3458,5127,150,6422,6934,6810,8609,57393,90550,3767,1080,51768,2746,252983,5950,4544,9024,55107,5071,6352,222546,3667,7124,2645,57555,5978,353500,3553,131177,8938,4843,2029,7021,111,23409,9971,11132,9854",0
GO:0048284,organelle fusion,"54927,55823,81554,662,51479,54809,6810,83871,84895,85409,23339,27183,9392,80183,23355,54332,6845,27072,51652,581,7879,9927,54471,374986,201164,54734,51024,858,8411,55647,4976,125170,56947,10228,55669,4218",0
GO:1900371,regulation of purine nucleotide biosynthetic process,"134145,2023,7114,205,4846,142,5165,5166,55022,7415",0
GO:0007389,pattern specification process,"8701,5125,9350,123016,27019,652,6926,140947,6422,27031,9241,4762,1954,388389,161582,7855,10159,7476,7477,7482,64446,5311,3670,26585,55130,93,5727,6496,54880,1767,4091,220136,115948,339829,4087,7547,55036,6781",0
GO:0034103,regulation of tissue remodeling,"4160,9464,26585,9607,3273,6093,6422,8600,10457,796,1471",0
GO:0050922,negative regulation of chemotaxis,"22914,9353,7057,285,1843,1845,4282,27202,10563,199,3273,6091,6092,6347,57175,727,4851,1652,4856",0
GO:0006643,membrane lipid metabolic process,"84992,8705,8707,8708,57733,2822,2055,55304,340485,91012,64781,129807,9488,166929,56848,339221,94101,4759,2583,94103,171546,51227,93210,125981,259230,5279,5408,4258,10402,55331,29095,427,10924,8877,9517,8879,142891,1201,79152,256435,9524,4668,7357,10558,8128,64834,2629,54982,54344,10825,55627,59344,6609,6483,6484,54872,201562,10715,2525,7903,30815,2529,55650,2531,128869,51046,57704,23659,8813,242,8818,8703",0
GO:1900744,regulation of p38MAPK cascade,"1540,7430,4616,650,9867,10125,80149,3735,10912,23328,9258,8877,285613,177,653361,1843,23239,7498,1739,54986,26191,768211,11221,4216,1647,3952,9464,3965,7422",0
GO:0060759,regulation of response to cytokine stimulus,"1540,56339,3093,23586,558,204851,10293,7737,246330,2621,8772,3654,3656,114769,117854,353376,9825,9314,2150,149095,2672,1660,7294,64135,9353,5771,58509,9370,90268,57506,166,7852,8877,29883,6850,84166,8904,83666,6868,114900,6880,3303,3304,79594,51441,3326,8970,7444,10019,7474,834,837,335,117584,260434,25939,5468,54625,22900,383,406912,171392,11140,1435,26525,29108,7097,6586,7099,54209,81858,342979,54726,6091,972,5071,5598,3557,85480,54765,3574",0
GO:0022408,negative regulation of cell-cell adhesion,"3077,23560,9231,91663,1041,9750,84524,10288,11314,4155,3135,3146,26191,4192,9314,65125,10859,5747,54900,64115,634,650,652,654,9370,56477,4771,182,170692,23240,207,114897,57045,10457,10459,6366,6370,6375,6385,6387,7422,50943,375056,301,7471,1845,28984,79679,5962,335,5465,84830,3440,3965,383,3456,7040,84868,11146,10653,928,201633,9647,445,6591,5573,29126,124872,59341,1493,5592,5598,407006,3557,999,4072,282618,80380",0
GO:0007007,inner mitochondrial membrane organization,"125988,55750,51079,29928,790955,10989,54927,4976,84303,3954,90580,6901,25813,26519,26520,79135",0
GO:0000187,activation of MAPK activity,"153090,650,3084,6288,7057,29969,3479,3735,1815,51738,2081,4908,9518,11184,7474,4916,3643,120892,959,6464,51776,2246,4296,975,2255,10961,27347,7124,6997,55765,5979,3553,2914,5604,6885,3815,5608,79594,5871,1139,8567,51196,7039",0
GO:0002711,positive regulation of T cell mediated immunity,"3329,3592,81545,10892,7186,7189,3606,7855,567,5817,5819,3133,3134,975,3553,3554,8417,6885,6375,8809",0
GO:0010977,negative regulation of neuron projection development,"9856,10371,9353,2580,5780,23189,10519,4504,1948,6695,64689,57142,9529,29116,11075,81618,22871,348,9693,8934,22891,152559,2672,1400",0
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,"896,5155,1956,207,595,5716,6868,28984,219771,5310,5629,894,5311",0
GO:0032006,regulation of TOR signaling,"23304,8841,6794,197131,81929,54541,10641,7957,220441,26268,28956,64798,10016,58528,3362,389541,9894,23334,55846,153129,652968,10542,10670,57521,64121,6396,51256,90809,93627,51520,144577,5314,8131,54468,2629,143686,84803,1609,8649,9675,81610,84861,253260,2768,7248,6098,7249,9681,10325,23251,23677,472,64083,83667,23387,55004,203228,729438,64223,55011,55654,140775,23274,27244,79726,84335,3952,369,23411,6009,84219,8444,11133",0
GO:0048285,organelle fission,"5824,8800,92960,54471,138474,10059,79594,89866,200942,51024,51537,56947,10005,54332,8799",0
GO:0046890,regulation of lipid biosynthetic process,"3458,2181,650,653,654,51085,56848,94101,94103,11160,3356,1181,3357,3358,672,5154,5155,29095,116519,427,2475,8877,5166,142891,255919,376497,4790,2488,1081,345275,6591,60481,8644,2246,9926,1609,972,5580,718,207,7376,337,10062,7124,341,6615,344,345,2264,5978,348,54361,10464,3553,23399,9965,2672,6770,9971,27122,10613,6647,5629",0
GO:0010596,negative regulation of endothelial cell migration,"7040,153090,387,6915,90627,9353,406921,3728,6672,7057,285,10014,5797,27302,54567,55333,55466,51378,1460,9270,28984,374969,22846,575,10563,79812,2247,3273,3146,29775,5468,348,94,350,407006,1634,2658,9314,11235,4204,4208,7026,4851,889,6781,4223",0
GO:0045910,negative regulation of DNA recombination,"641,54537,2956,55183,84893,55086,23347,80311,115004,56893,149840,4436,4437,10459,10721,7014,64110,84083,7158,92797",0
GO:0045911,positive regulation of DNA recombination,"7040,7486,8741,54537,51149,142,149840,10097,8914,64210,7158,2521,10459,7037,7454,55135",0
GO:0042036,negative regulation of cytokine biosynthetic process,"9314,2693,161882,1991,3625,10859,91662,51738,28951,602,50943",0
GO:1902106,negative regulation of leukocyte differentiation,"3456,4609,406912,171392,3204,652,11025,6422,2200,5914,9370,10272,84524,301,55294,3135,325,23240,714,3146,6348,6988,9290,1493,4192,10859,3440,282618,1021,11006,50943",0
GO:0050808,synapse organization,"2561,2562,2566,54413,57502,5663,4137,3897,120892,2895,11346,1501,351,8934,1639,1134,114798,4593,627,2554",0
GO:0002090,regulation of receptor internalization,"2688,6401,55681,124930,338692,9863,88455,54550,6424,408,409,29978,2332,284,8862,1950,22943,6311,4908,9779,89780,967,4043,10211,3690,284654,6386,4983,255738,7422",0
GO:2000774,positive regulation of cellular senescence,"384,1029,567,83719,9521,23411,3159,8091,3805,3135",0
GO:0008207,C21-steroid hormone metabolic process,"8644,10858,1645,1646,1583,1584,1585,1586,8912,10170,6718",0
GO:0010569,regulation of double-strand break repair via homologous recombination,"5888,54537,10635,142,55183,29072,5531,84893,7454,158880,51750,55086,151987,23347,80311,115004,56893,51149,149840,8914,64210,1111,2521,23514,10459,51548,55135,10721,6118,22891,63979,64110,10097,23028,7158,92797",0
GO:0071168,protein localization to chromatin,"91782,222229,23063,84515,2099,221496,254394,3009,51149,51535,55506,9555,4436,23383,5347,55011,10856,23272,25836,5885",0
GO:0032024,positive regulation of insulin secretion,"640,55107,8938,9854,51768,57393,222546,57555,2645,6934,6810,1080,90550,2746,11132,5950",0
GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,"23433,5898,64787,9750,55704,23580,146206,202018,5027,10787,55845,54443,10109,7471,10801,10163,10807,3064,57787,9662,49856,3265,10435,324,100287171,80199,5064,148170,84299,11344,54869,158297,54874,989,6366,5216,6624,9696,998,79734,5879,5880,116985,8829,11135",0
GO:0031123,RNA 3'-end processing,"87178,10768,54931,23318,51095,64282,25888,123169,10914,79650,11044,26024,29101,389421,6832,79670,29894,5073,3028,6741,64852,79577,53981,54623,51692,55149,79727,114034,8189",0
